
--- Locating docker-compose.yml ---
/root/qscrap-temp/docker-compose.yml
/opt/qscrap/docker-compose.yml

--- Backend Logs (from /opt/qscrap) ---
qscrap-backend  | [2026-02-19T08:23:33.602Z] [WARN] [node-40] Request completed {"requestId":"1cd9daf6-0267-44cd-a62e-d65076a189ca","method":"POST","path":"/location","statusCode":429,"durationMs":4}
qscrap-backend  | [2026-02-19T08:23:35.846Z] [INFO] [node-40] Request started {"requestId":"c0ebd235-d758-4af6-bed9-883b859e5a2b","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:23:35.848Z] [WARN] [node-40] Request completed {"requestId":"c0ebd235-d758-4af6-bed9-883b859e5a2b","method":"POST","path":"/location","statusCode":429,"durationMs":2}
qscrap-backend  | [2026-02-19T08:23:40.078Z] [INFO] [node-40] Request started {"requestId":"a93f09af-8440-4ec1-95cf-889d57b17def","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:23:40.085Z] [INFO] [node-40] Request completed {"requestId":"a93f09af-8440-4ec1-95cf-889d57b17def","method":"POST","path":"/location","statusCode":200,"durationMs":7}
qscrap-backend  | [2026-02-19T08:23:40.278Z] [INFO] [node-40] Request started {"requestId":"0f15c598-1ad6-4cbf-a4e6-f4dd6e210232","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:23:40.280Z] [WARN] [node-40] Request completed {"requestId":"0f15c598-1ad6-4cbf-a4e6-f4dd6e210232","method":"POST","path":"/location","statusCode":429,"durationMs":2}
qscrap-backend  | [2026-02-19T08:23:42.519Z] [INFO] [node-40] Request started {"requestId":"941a2ad6-4261-4144-95f0-f9be0048fde0","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T08:23:42.522Z] [WARN] [node-40] Request completed {"requestId":"941a2ad6-4261-4144-95f0-f9be0048fde0","method":"POST","path":"/location","statusCode":429,"durationMs":3}
qscrap-backend  | [2026-02-19T08:23:44.073Z] [INFO] [node-40] Request started {"requestId":"4dd198fa-548f-416f-aaa3-33f7491ee026","method":"GET","path":"/api/delivery/collection/pending"}
qscrap-backend  | [2026-02-19T08:23:44.074Z] [INFO] [node-40] Request started {"requestId":"fc931990-7f6a-4d26-8d01-15515bb03433","method":"GET","path":"/api/delivery/stats"}
qscrap-backend  | [2026-02-19T08:23:44.074Z] [INFO] [node-40] Request started {"requestId":"0fd5fcbc-c3f5-4ce2-89e7-97c42e7a370e","method":"GET","path":"/api/delivery/delivery/pending"}
qscrap-backend  | [2026-02-19T08:23:44.074Z] [INFO] [node-40] Request started {"requestId":"7b867262-85b8-4646-91f6-37675bd853df","method":"GET","path":"/api/delivery/active"}
qscrap-backend  | [2026-02-19T08:23:44.081Z] [INFO] [node-40] Request completed {"requestId":"4dd198fa-548f-416f-aaa3-33f7491ee026","method":"GET","path":"/collection/pending","statusCode":304,"durationMs":8}
qscrap-backend  | [2026-02-19T08:23:44.082Z] [INFO] [node-40] Request started {"requestId":"2de2d367-11dd-4759-b094-b84773bc1c60","method":"GET","path":"/api/operations/dashboard/stats"}
qscrap-backend  | [2026-02-19T08:23:44.084Z] [INFO] [node-40] Request completed {"requestId":"0fd5fcbc-c3f5-4ce2-89e7-97c42e7a370e","method":"GET","path":"/delivery/pending","statusCode":304,"durationMs":10}
qscrap-backend  | [2026-02-19T08:23:44.085Z] [INFO] [node-40] Request completed {"requestId":"7b867262-85b8-4646-91f6-37675bd853df","method":"GET","path":"/active","statusCode":200,"durationMs":11}
qscrap-backend  | [2026-02-19T08:23:44.085Z] [INFO] [node-40] Request started {"requestId":"ad24bd9b-d5fe-4a8b-a999-363c5616e7a8","method":"GET","path":"/api/delivery/drivers"}
qscrap-backend  | [2026-02-19T08:23:44.087Z] [INFO] [node-40] Request completed {"requestId":"fc931990-7f6a-4d26-8d01-15515bb03433","method":"GET","path":"/stats","statusCode":304,"durationMs":13}
qscrap-backend  | [2026-02-19T08:23:44.088Z] [INFO] [node-40] Request started {"requestId":"452bd59f-d554-4311-8467-5fdbf4d8f499","method":"GET","path":"/api/operations/returns"}
qscrap-backend  | [2026-02-19T08:23:44.089Z] [INFO] [node-40] Request completed {"requestId":"2de2d367-11dd-4759-b094-b84773bc1c60","method":"GET","path":"/dashboard/stats","statusCode":304,"durationMs":7}
qscrap-backend  | [2026-02-19T08:23:44.091Z] [INFO] [node-40] Request completed {"requestId":"ad24bd9b-d5fe-4a8b-a999-363c5616e7a8","method":"GET","path":"/drivers","statusCode":304,"durationMs":6}
qscrap-backend  | [2026-02-19T08:23:44.093Z] [INFO] [node-40] Request completed {"requestId":"452bd59f-d554-4311-8467-5fdbf4d8f499","method":"GET","path":"/returns","statusCode":304,"durationMs":6}
