
--- Logs surrounding /proof request ---
qscrap-backend  | [2026-02-19T06:58:44.875Z] [INFO] [node-40] Request started {"requestId":"b0f6e9c9-b461-4ee5-a1b7-014b8d06d1af","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T06:58:44.879Z] [WARN] [node-40] Request completed {"requestId":"b0f6e9c9-b461-4ee5-a1b7-014b8d06d1af","method":"POST","path":"/location","statusCode":429,"durationMs":4}
qscrap-backend  | [2026-02-19T06:58:45.227Z] [INFO] [node-40] Request started {"requestId":"0894c3fb-33ba-4556-907c-e2ac77377bfe","method":"GET","path":"/api/driver/me"}
qscrap-backend  | [2026-02-19T06:58:45.229Z] [INFO] [node-40] Request started {"requestId":"72ccc8ec-6f45-4a06-aaf6-c9c9432a51e3","method":"GET","path":"/api/driver/stats"}
qscrap-backend  | [2026-02-19T06:58:45.231Z] [INFO] [node-40] Request completed {"requestId":"0894c3fb-33ba-4556-907c-e2ac77377bfe","method":"GET","path":"/me","statusCode":304,"durationMs":4}
qscrap-backend  | [2026-02-19T06:58:45.239Z] [INFO] [node-40] Request completed {"requestId":"72ccc8ec-6f45-4a06-aaf6-c9c9432a51e3","method":"GET","path":"/stats","statusCode":200,"durationMs":10}
qscrap-backend  | [2026-02-19T06:58:47.276Z] [WARN] [node-40] Request completed {"requestId":"5cbe952e-07f3-453e-9064-70560a27dc29","method":"POST","path":"/location","statusCode":429,"durationMs":2}
qscrap-backend  | [2026-02-19T06:58:47.274Z] [INFO] [node-40] Request started {"requestId":"5cbe952e-07f3-453e-9064-70560a27dc29","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T06:58:51.652Z] [INFO] [node-40] Request started {"requestId":"597a30da-bcbe-4e6e-94c1-03d7f40682b3","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T06:58:51.661Z] [INFO] [node-40] Request completed {"requestId":"597a30da-bcbe-4e6e-94c1-03d7f40682b3","method":"POST","path":"/location","statusCode":200,"durationMs":9}
qscrap-backend  | [2026-02-19T06:58:51.989Z] [INFO] [node-40] Request started {"requestId":"ed094f96-2ec8-4a4e-9843-a6a7d3ac4d95","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T06:58:51.992Z] [WARN] [node-40] Request completed {"requestId":"ed094f96-2ec8-4a4e-9843-a6a7d3ac4d95","method":"POST","path":"/location","statusCode":429,"durationMs":3}
qscrap-backend  | [2026-02-19T06:58:53.313Z] [INFO] [node-40] Request started {"requestId":"9af622cd-ce1a-4561-be23-cffca56545c6","method":"GET","path":"/api/driver/assignments"}
qscrap-backend  | [2026-02-19T06:58:53.326Z] [INFO] [node-40] Request completed {"requestId":"9af622cd-ce1a-4561-be23-cffca56545c6","method":"GET","path":"/assignments","statusCode":304,"durationMs":13}
qscrap-backend  | [2026-02-19T06:58:54.416Z] [INFO] [node-40] Request started {"requestId":"155cdbf0-c577-4acf-8cae-4d866a8b6edb","method":"POST","path":"/api/driver/location"}
qscrap-backend  | [2026-02-19T06:58:54.419Z] [WARN] [node-40] Request completed {"requestId":"155cdbf0-c577-4acf-8cae-4d866a8b6edb","method":"POST","path":"/location","statusCode":429,"durationMs":3}
qscrap-backend  | [2026-02-19T06:58:54.770Z] [INFO] [node-40] Request started {"requestId":"be563a99-5b19-49a9-8a12-e2e699557acc","method":"GET","path":"/api/driver/assignments"}
qscrap-backend  | [2026-02-19T06:58:54.785Z] [INFO] [node-40] Request completed {"requestId":"be563a99-5b19-49a9-8a12-e2e699557acc","method":"GET","path":"/assignments","statusCode":200,"durationMs":15}
qscrap-backend  | [2026-02-19T06:58:56.432Z] [INFO] [node-40] Request started {"requestId":"d8bbfc38-db0a-4ea1-ab44-face8c193a0f","method":"GET","path":"/api/driver/assignments/c17ecda8-85fb-4a1e-b6f8-048f26279144"}
qscrap-backend  | [2026-02-19T06:58:56.441Z] [INFO] [node-40] Request completed {"requestId":"d8bbfc38-db0a-4ea1-ab44-face8c193a0f","method":"GET","path":"/assignments/c17ecda8-85fb-4a1e-b6f8-048f26279144","statusCode":200,"durationMs":9}
